presence,X,Y,elevation,aridity,temp_seasonality,mean_temp,coldest_month,warmest_month,annual_precipitation,driest_month,wettest_month
0,-119.6077456687418,34.78527563968436,1177.3944091796875,3129,5217,119.99427032470703,64,193,650,1,123
0,-120.2623480163041,34.573991884946146,233.70176696777344,2785,2755,145.56784057617188,113,183,445,0,91
0,-120.60999603127132,34.73110722807418,19.761940002441406,3312,1793,137.7286834716797,116,163,324,0,66
0,-120.58816696986639,34.65430127131348,107.60711669921875,3343,1819,137,116,162,355,0,71
0,-120.0456743697664,35.086840080439536,462.831787109375,2221,4815,146.15928649902344,93,214,432,0,84
0,-119.4668000006582,34.60740921350168,1451.145263671875,3313,5052,105.37109375,50,176,691,1,131
0,-119.82468880986475,34.93161119940738,940.02655029296875,2853,5158,129.7373046875,73,202,619,0,119
0,-119.69344494685001,34.01721607207733,137.61659240722656,2537,2494,147.73373413085938,119,181,439,0,98
0,-120.27986516434508,34.66076914135648,280.6282653808594,2821,2872,144.45680236816406,110,182,458,0,92
0,-120.14457888255164,34.736497119776686,373.9154357910156,2661,3557,147.6009979248047,106,196,490,0,98
0,-119.61502202254344,34.89792437626672,772.1251220703125,2257,5516,143.2025146484375,79,218,536,0,107
0,-119.56300956759098,34.74727690318169,1239.8818359375,3082,5166,118.282470703125,65,194,641,1,121
0,-119.88802003739754,34.641365531227464,547.2789306640625,2823,4263,146.9654541015625,96,204,587,0,122
0,-120.44263989383361,34.797941885185246,173.72906494140625,2874,2273,139.27137756347656,111,168,389,0,80
0,-119.51180559639427,34.67262690310199,1078.349853515625,2769,5181,125.38581085205078,70,199,626,0,122
0,-119.92898321435491,34.77018394291734,654.28729248046875,2768,4482,140.6084442138672,91,204,572,0,116
0,-119.4832391703582,34.79659441225962,1034.180908203125,2661,5453,131.600830078125,70,206,585,0,113
0,-120.3087010849664,34.74700740859657,211.14862060546875,2676,2754,145.54808044433594,112,182,399,0,80
0,-120.0750492795582,33.91480812972973,100.06536102294922,2564,1903,146.85665893554688,125,172,367,NA,79
0,-120.23405108485328,34.784736650514105,346.5711975097656,2698,3229,145.54522705078125,107,189,462,0,91
0,-120.07073736619427,35.07120939450227,825.443115234375,3018,4849,133.52027893066406,78,200,601,0,113
0,-120.43563303461723,34.455953256661275,38.93451690673828,2815,1991,144.83387756347656,121,171,377,0,76
0,-119.60316426079262,34.51820650582521,567.85333251953125,2697,4437,145.71371459960938,94,206,647,0,144
0,-120.34723881065656,34.913824556789116,102.29141235351562,2601,2749,148.3268585205078,114,184,363,0,75
0,-119.75192527184836,34.01802455583271,385.7690734863281,2765,2848,140.4288330078125,108,179,533,0,113
0,-119.74087599385328,34.49826390652594,839.39703369140625,3194,4401,131.5465850830078,83,192,684,0,140
0,-120.36825938830575,34.84833737260367,249.3713836669922,2835,2698,141.6115264892578,110,178,427,0,85
0,-119.98935000145,34.84806787801855,622.9481201171875,2804,4538,141.73818969726562,89,202,573,0,113
0,-120.23485956860902,34.7259868309568,234.7398223876953,2664,3010,147.38800048828125,112,188,415,0,83
0,-120.51270848599755,34.803870766058004,172.20750427246094,3036,2063,136.07823181152344,112,164,359,0,75
0,-119.8408584849795,34.62923827489683,495.7398376464844,2627,4310,145.40536499023438,98,207,578,0,122
0,-119.72416732956803,34.91813647015112,752.66314697265625,2284,5350,140.9100799560547,78,212,559,0,110
0,-120.00902310617296,34.661308130526734,345.62432861328125,2495,3866,151.06002807617188,105,203,507,0,105
0,-120.56579891929098,34.620075459002564,245.8125762939453,3479,1977,132.7193603515625,111,160,426,0,84
0,-120.1308346587041,35.055848203150134,733.7789306640625,2905,4672,134.23825073242188,83,200,579,0,110
0,-119.86538249223689,35.01865795040285,550.09954833984375,2003,5247,150.22303771972656,87,219,462,0,91
0,-119.5683994592959,34.5244048812831,573.37237548828125,2655,4444,143.23492431640625,96,208,627,0,140
0,-119.47757978406804,34.82354387077215,898.42218017578125,2449,5570,137.625732421875,74,214,559,0,111
0,-120.19174043496967,33.99727347277806,90.39127349853516,3190,1938,144.30343627929688,123,171,389,NA,81
0,-119.54522292496476,34.016946577492206,59.51408004760742,2349,2279,153.16943359375,127,184,359,0,84
0,-119.8079801455795,34.76883646999172,844.22406005859375,2963,4843,133.1720733642578,83,204,614,0,124
0,-120.46473844982377,34.90277527879898,67.55730438232422,2762,2427,142,111,173,341,0,76
0,-119.7826476545664,34.96448953879266,648.51116943359375,2160,5346,145.5692901611328,83,218,509,0,100
0,-119.63307815975492,34.63489766118445,1157.587158203125,2974,4922,119.9384994506836,70,192,664,0,129
0,-120.40248520063197,34.70227130746577,174.36326599121094,2813,2375,141.00401306152344,112,172,406,0,82
0,-119.91901191470082,34.88418015242533,973.9102783203125,3231,4890,127.10488891601562,74,195,653,0,125
0,-120.51809837770247,34.69580343742277,94.140869140625,2866,1989,138.28831481933594,113,164,355,0,73
0,-120.4765962115746,34.95883015250504,54.63638687133789,2868,2410,143.247802734375,113,174,356,0,76
0,-120.61673339590247,34.57129693909489,150.9970245361328,3595,1826,134.25650024414062,113,159,413,0,81
0,-120.10577166227624,34.60094134345867,175.79025268554688,2487,3253,153.07366943359375,113,197,436,0,91
0,-120.4038326735582,34.83971354587966,301.7318420410156,3040,2733,138.70176696777344,107,175,473,0,93
0,-120.07424079580247,34.679633762315255,347.5284423828125,2556,3691,149.9567413330078,107,200,490,0,100
